City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Galveston,US,29.3669,-94.9669,53.96,73,0,9.22,clear sky
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,95,100,7.67,overcast clouds
317,Miraflores,MX,19.2167,-98.8083,61.03,67,86,1.81,overcast clouds
318,Umba,RU,66.6871,34.3429,21.54,96,100,4.85,light snow
319,Coxim,BR,-18.5067,-54.76,72.05,95,100,1.63,overcast clouds
320,Talcahuano,CL,-36.7167,-73.1167,56.79,89,0,8.9,clear sky
321,Lasa,IT,46.6166,10.7002,38.14,92,13,9.26,few clouds
322,Hirado,JP,33.3597,129.5531,52.39,53,93,11.01,overcast clouds
323,Utete,TZ,-7.986,38.758,72.93,99,100,1.54,overcast clouds
324,Ilulissat,GL,69.2167,-51.1,8.62,52,20,25.32,light shower snow
325,Tambura,SS,5.6,27.4667,62.67,24,13,4.79,few clouds
326,Minuwangoda,LK,7.1663,79.9533,80.53,94,0,4.61,clear sky
327,Vao,NC,-22.6667,167.4833,80.11,86,8,18.92,clear sky
328,Bagli,IN,22.65,76.35,64.62,25,0,0.31,clear sky
329,Mantua,IT,45.1667,10.7833,42.08,75,15,6.13,few clouds
330,Inuvik,CA,68.3499,-133.7218,-16.01,98,99,6.82,overcast clouds
331,Hualmay,PE,-11.0964,-77.6139,69.78,85,77,8.19,broken clouds
332,Pizarro,CO,4.9533,-77.366,75.13,89,100,4.5,light rain
333,Tautira,PF,-17.7333,-149.15,80.62,74,49,8.34,light rain
334,Dayong,CN,25.0209,118.2898,59.9,59,88,5.19,overcast clouds
335,Soufriere,LC,13.8562,-61.0566,75.07,78,4,14.18,clear sky
336,Evensk,RU,61.95,159.2333,16.21,79,100,10.45,overcast clouds
337,Linjiang,CN,41.8069,126.9078,20.97,60,11,2.35,few clouds
338,Kwinana,AU,-32.25,115.7667,97.14,58,1,18.75,clear sky
339,Sao Filipe,CV,14.8961,-24.4956,70.56,73,76,11.18,broken clouds
340,Witu,KE,-2.3889,40.4382,78.96,92,99,4.29,overcast clouds
341,Cockburn Town,TC,21.4612,-71.1419,77.36,71,0,12.24,clear sky
342,Karratha,AU,-20.7377,116.8463,98.13,35,54,14.81,broken clouds
343,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,68,78,11.81,broken clouds
344,Chissamba,AO,-12.1667,17.3333,60.98,95,100,2.68,overcast clouds
